MODEL,OA_DATE,ITEM_CODE,QTY,UNIT_PRICE,BASIC_VALUE,ITEM_DESCRIPTION
ACR SPARES,2021-12-04,082.04.030.50.,20.0,1348.0,26960.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-04,336.40.401.50.,8.0,6162.0,49296.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-12-04,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-12-04,084.19.001.50.,1.0,3261.0,3261.0,GASKET SET KC4
ACR SPARES,2021-12-04,082.03.110.50.,5.0,2830.0,14150.0,PISTON KC/KCX
ACR SPARES,2021-12-06,082.03.110.50.,10.0,2830.0,28300.0,PISTON KC/KCX
ACR SPARES,2021-12-06,082.04.030.50.,6.0,1348.0,8088.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-07,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-12-07,993.00.311.00.,10.0,116.0,1160.0,GASKET SUCT STRAINER & SIDE COVER KC/KCX
ACR SPARES,2021-12-07,082.04.030.50.,10.0,1348.0,13480.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-07,082.04.030.50.,12.0,1348.0,16176.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-07,084.19.001.50.,2.0,3261.0,6522.0,GASKET SET KC4
ACR SPARES,2021-12-07,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-12-07,082.03.110.50.,6.0,2830.0,16980.0,PISTON KC/KCX
ACR SPARES,2021-12-07,082.04.030.50.,10.0,1348.0,13480.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-08,082.03.110.50.,12.0,2830.0,33960.0,PISTON KC/KCX
ACR SPARES,2021-12-08,336.40.401.50.,15.0,6162.0,92430.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-12-08,082.03.110.50.,10.0,2830.0,28300.0,PISTON KC/KCX
ACR SPARES,2021-12-08,082.03.110.50.,8.0,2830.0,22640.0,PISTON KC/KCX
ACR SPARES,2021-12-08,082.04.030.50.,6.0,1348.0,8088.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-09,082.03.110.50.,5.0,2830.0,14150.0,PISTON KC/KCX
ACR SPARES,2021-12-09,336.40.401.50.,6.0,6162.0,36972.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-12-09,082.04.030.50.,20.0,1348.0,26960.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-10,082.03.110.50.,6.0,2830.0,16980.0,PISTON KC/KCX
ACR SPARES,2021-12-10,082.08.000.50.,10.0,5901.0,59010.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-12-10,082.04.030.50.,15.0,1348.0,20220.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-10,082.03.110.50.,8.0,2830.0,22640.0,PISTON KC/KCX
ACR SPARES,2021-12-11,082.04.030.50.,24.0,1348.0,32352.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-11,336.40.401.50.,13.0,6162.0,80106.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-12-11,336.40.401.50.,11.0,6162.0,67782.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-12-11,082.03.110.50.,24.0,2830.0,67920.0,PISTON KC/KCX
